duration,name,utc
3,GW150914,2015-09-14T09:51:21.400
3,GW151012,2015-10-12T09:55:19.400
3,GW170104,2017-01-04T10:12:35.600
3,GW170608,2017-06-08T02:01:53.500
3,GW170729,2017-07-29T18:57:06.300
3,GW170814,2017-08-14T10:31:20.500
3,GW170817,2017-08-17T12:41:41.400
3,151008,2015-10-08T14:09:53.500
3,151012A,2015-10-12T06:31:21.200
3,151116,2015-11-16T22:42:24.700
3,161202,2016-12-02T03:54:20.900
3,161217,2016-12-17T07:17:00.400
3,170208,2017-02-08T10:40:02.800
3,170219,2017-02-19T14:04:46.000
3,170405,2017-04-05T11:05:29.700
3,170423,2017-04-23T12:11:22.000
3,170616,2017-06-16T19:47:57.800
3,170630,2017-06-30T16:17:44.800
3,170705,2017-07-05T08:45:53.300
3,170720,2017-07-20T22:45:08.800
